# Real team-pointer table, transcribed from carky12's "Punteros Equipos.pdf"
# (jandro996/EditorPCFutbol6 repo, Manuales/Punteros Equipos.pdf).
# Community reference data (4-digit decimal pointer -> team name/country),
# not proprietary Dinamic game content -- see PLAN.md Appendix C / §9 and
# fixtures/README.md. Confirms pointers/team_filename's EQ97+pointer
# convention: e.g. Boca = 9013 -> EQ979013.DBC (already implemented in
# crates/pcf-model/src/pointers.rs).
pointer,name,country
0322,Bolton,Inglaterra
0323,Manchester C,Inglaterra
0324,Southend U,Inglaterra
0325,Birmingham C,Inglaterra
0326,Crystal P,Inglaterra
0327,Grimsby T,Inglaterra
0328,Huddersfield T,Inglaterra
0329,Ipswich,Inglaterra
0330,Swindon,Inglaterra
0331,Barnsley,Inglaterra
0332,Bradford C,Inglaterra
0333,Charlton,Inglaterra
0334,Norwich C,Inglaterra
0335,Oldham Ath,Inglaterra
0336,Port Vale,Inglaterra
0337,Portsmouth,Inglaterra
0338,Reading,Inglaterra
0339,Oxford U,Inglaterra
0340,Sheffield U,Inglaterra
0341,Stoke City,Inglaterra
0342,Tranmere Rov,Inglaterra
0343,West Bromwich (WBA),Inglaterra
0344,Wolverhampton,Inglaterra
0345,Blackpool,Inglaterra
0346,Bournemouth,Inglaterra
0347,Brentford,Inglaterra
0348,Bristol City,Inglaterra
0349,Bristol Rovers,Inglaterra
0350,Burnley,Inglaterra
0351,Bury,Inglaterra
0352,Chesterfield,Inglaterra
0353,Crewe Alex.,Inglaterra
0354,Gillingham,Inglaterra
0355,Luton T,Inglaterra
0356,Millwall,Inglaterra
0357,Notts C,Inglaterra
0358,Peterborough,Inglaterra
0359,Plymouth Arg.,Inglaterra
0360,Preston NE,Inglaterra
0361,Rotherham U,Inglaterra
0362,Shrewsbury,Inglaterra
0363,Stockport C,Inglaterra
0364,Walsall,Inglaterra
0365,Watford,Inglaterra
0366,Wrexham,Inglaterra
0367,Wycombe W,Inglaterra
0368,York City,Inglaterra
0369,Barnet,Inglaterra
0370,Brighton & HA,Inglaterra
0371,Cambridge U,Inglaterra
0372,Cardiff C,Inglaterra
0373,Carlisle U,Inglaterra
0374,Chester C,Inglaterra
0375,Colchester U,Inglaterra
0376,Darlington,Inglaterra
0377,Doncaster,Inglaterra
0378,Exeter,Inglaterra
0379,Fulham,Inglaterra
0380,Hartlepool,Inglaterra
0381,Hereford,Inglaterra
0382,Hull,Inglaterra
0383,Leyton,Inglaterra
0384,Lincoln,Inglaterra
0385,Mansfield,Inglaterra
0386,Northampton,Inglaterra
0387,Rochdale,Inglaterra
0388,Scarborough,Inglaterra
0389,Scunthorpe,Inglaterra
0390,Swansea C,Inglaterra
0391,Torquay U,Inglaterra
0392,Wigan Ath,Inglaterra
0401,Borussia D.,Alemania
0402,Borussia M.,Alemania
0403,W. Bremen,Alemania
0404,Kaiserslautern,Alemania
0405,Friburgo,Alemania
0406,Bayern M.,Alemania
0407,Karlsruhe,Alemania
0408,Schalke 04,Alemania
0409,Hamburgo,Alemania
0410,Hansa Rostock,Alemania
0411,Munich 1860,Alemania
0412,Stuttgart,Alemania
0413,Colonia,Alemania
0414,Fortuna Düsseldorf,Alemania
0415,Bayer Leverkusen,Alemania
0416,Saint Pauli,Alemania
0417,Bochum,Alemania
0418,Arminia Bielefeld,Alemania
0419,Duisburg,Alemania
0420,Wolfsburg,Alemania
0421,Hertha Berlín,Alemania
0501,Nantes,Francia
0502,PSG,Francia
0503,Auxerre,Francia
0504,Lens,Francia
0505,Monaco,Francia
0506,Lyon,Francia
0507,Strasburgo,Francia
0508,Girondins,Francia
0509,Montpellier,Francia
0510,Metz,Francia
0511,Nimes,Francia
0512,Guingamp,Francia
0513,Rennes,Francia
0514,Niza,Francia
0515,Le Havre,Francia
0516,Cannes,Francia
0517,Bastia,Francia
0518,Lille,Francia
0519,Caen,Francia
0520,Olympique de Marsella,Francia
0521,Nancy,Francia
0522,Châteauroux,Francia
0523,Toulouse,Francia
0601,Oporto,Portugal
0602,Sp. Lisboa,Portugal
0603,Benfica,Portugal
0604,V. Guimaraes,Portugal
0605,Farense,Portugal
0606,Boavista,Portugal
0607,Os Belenenses,Portugal
0608,Uniao Leiria,Portugal
0609,SC Braga,Portugal
0610,Marítimo,Portugal
0611,Gil Vicente,Portugal
0612,Salgueiros,Portugal
0613,Estrela Amadora,Portugal
0614,Leça,Portugal
0615,Chaves,Portugal
0616,Río Ave,Portugal
0617,Vitoria Setubal,Portugal
0618,Espinho,Portugal
0619,Varzim,Portugal
0620,Coimbra,Portugal
0621,Campomaiorense,Portugal
0701,Estrella Roja (Crvena Zvezda Beograd),Yugoslavia
0702,RAD Belgrado,Yugoslavia
0703,Partizán,Yugoslavia
0704,Vojvodina,Yugoslavia
0705,Zemun,Yugoslavia
0706,Becej,Yugoslavia
0707,Obilic Belgrado,Yugoslavia
0708,Mladost Lucani,Yugoslavia
0709,Proleter Zrenjanin,Yugoslavia
0710,Hajduk Kula,Yugoslavia
0711,Cukaricki Stankom,Yugoslavia
0712,Buducnost Podgorica,Yugoslavia
0713,Borac Cacak,Yugoslavia
0751,Spa. Moscú,Rusia
0752,Dinamo Moscú,Rusia
0753,Rotor,Rusia
0754,Alania Vladikavkav,Rusia
0755,Lokomotiv Moscú,Rusia
0756,CSKA Moscú,Rusia
0757,Torpedo Moscú,Rusia
0758,Zenit,Rusia
0801,Ajax,Holanda
0802,Feyenoord,Holanda
0803,Roda,Holanda
0804,PSV,Holanda
0805,Vitesse,Holanda
0806,Sparta,Holanda
0807,Heerenveen,Holanda
0808,NAC,Holanda
0809,Groningen,Holanda
0810,Twente,Holanda
0811,RKC,Holanda
0812,Willem II,Holanda
0813,Fortuna Sittard,Holanda
0814,De Graafschap,Holanda
0815,Utrech,Holanda
0816,Vodendam,Holanda
0817,NEC,Holanda
0818,AZ,Holanda
0819,Maastricht,Holanda
0851,Anderlecht,Bélgica
0852,Brujas,Bélgica
0853,Standard Lieja,Bélgica
0854,Lierse,Bélgica
0855,Alost,Bélgica
0856,G. Ekeren (Germinal Beerschot),Bélgica
0857,C. de Brujas,Bélgica
0858,Molenbeek,Bélgica
0859,Charleroi,Bélgica
0860,Lommelse,Bélgica
0861,Mechelen (Malines),Bélgica
0862,Harelbeke,Bélgica
0863,R. Antwerp,Bélgica
0864,Gent (KAA Gent / La Grantoise),Bélgica
0865,Sint Truidense (St-Trond),Bélgica
0866,Excelsior Mouscron,Bélgica
0867,Genk (RKC Genk),Bélgica
0868,Lokeren,Bélgica
0901,Hajduk Split,Croacia
0902,Croatia Zagreb (Dinamo Zagreb),Croacia
0903,Osijek,Croacia
0904,Varteks,Croacia
0905,Zagreb,Croacia
0906,Rijeka,Croacia
0907,Slaven Belupo,Croacia
0908,Cibalia Vinkovci,Croacia
0909,Mladost Suhopolje,Croacia
0910,Hrvatski Dragovoljac,Croacia
0911,Sibenik,Croacia
0912,Suhopolje,Croacia
0913,Zadar,Croacia
0914,Segesta Sisak,Croacia
0915,Marsonia,Croacia
0916,Istra Pula,Croacia
0917,Inter Zapresic,Croacia
0951,Göteborg,Suecia
0952,Halmstads,Suecia
0953,Orebro,Suecia
0954,Malmoe,Suecia
0955,AIK Estoc.,Suecia
0956,Helsingborgs,Suecia
0957,Djugardens,Suecia
0958,Orgryte,Suecia
0959,Degerfors,Suecia
0960,Trelleborgs,Suecia
0961,Norrkoping,Suecia
0962,Elfsborg,Suecia
1001,Besiktas,Turquía
1002,Trabzonspor,Turquía
1003,Galatasaray,Turquía
